number,value,datetime_start,datetime_complete,duration,params_d_model,params_dropout,params_ff_mult,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
74,,2026-06-24 04:55:36.354913,2026-06-24 04:55:40.277346,0 days 00:00:03.922433,1024,0.1,4,0.00030725866226624865,16,5,3.033464650238392e-07,PRUNED
75,,2026-06-24 04:55:40.279083,2026-06-24 04:55:41.016718,0 days 00:00:00.737635,128,0.1,4,0.00028188135171749025,16,4,8.316495825616307e-07,PRUNED
76,0.24341998249292374,2026-06-24 04:55:41.018431,2026-06-24 05:02:59.258439,0 days 00:07:18.240008,128,0.1,4,0.00029690829845040233,16,3,3.8457274170989307e-07,COMPLETE
77,0.19205930456519127,2026-06-24 05:02:59.260270,2026-06-24 05:12:39.480832,0 days 00:09:40.220562,128,0.1,4,0.00036246867735406906,16,4,2.636997308091531e-07,COMPLETE
78,,2026-06-24 05:12:39.482695,2026-06-24 05:12:40.133406,0 days 00:00:00.650711,128,0.1,4,0.00044882162173852407,4,7,2.5575503089893805e-07,PRUNED
79,,2026-06-24 05:12:40.134777,2026-06-24 05:12:41.062968,0 days 00:00:00.928191,512,0.15000000000000002,4,0.0003516600576990708,16,5,2.2889009277084363e-07,PRUNED
80,0.21211617812514305,2026-06-24 05:12:41.065260,2026-06-24 05:17:37.701367,0 days 00:04:56.636107,128,0.1,4,0.00039320016168538423,16,2,2.690890000758669e-07,COMPLETE
81,0.2427927814424038,2026-06-24 05:17:37.703079,2026-06-24 05:22:33.505931,0 days 00:04:55.802852,128,0.1,4,0.00042592236492238963,16,2,2.854768222750782e-07,COMPLETE
82,0.21831360831856728,2026-06-24 05:22:33.507743,2026-06-24 05:27:30.078578,0 days 00:04:56.570835,128,0.1,4,0.0003655958642128163,16,2,2.6591805123586777e-07,COMPLETE
83,0.22615179046988487,2026-06-24 05:27:30.080399,2026-06-24 05:32:26.124564,0 days 00:04:56.044165,128,0.1,4,0.0003812686192314672,16,2,2.677825455125356e-07,COMPLETE
84,,2026-06-24 05:32:26.126538,2026-06-24 05:32:27.914796,0 days 00:00:01.788258,1024,0.1,4,0.0004121634981011439,16,2,2.440664607435156e-07,PRUNED
85,,2026-06-24 05:32:27.916435,2026-06-24 05:32:28.501392,0 days 00:00:00.584957,128,0.1,4,0.0004757361155494597,16,2,2.8707819797024445e-07,PRUNED
86,0.2261427566409111,2026-06-24 05:32:28.503103,2026-06-24 05:39:44.900882,0 days 00:07:16.397779,128,0.15000000000000002,4,0.0003594792494400743,16,3,2.228652019097035e-07,COMPLETE
87,0.24006538465619087,2026-06-24 05:39:44.902764,2026-06-24 05:44:41.106361,0 days 00:04:56.203597,128,0.1,4,0.00039714212880057,16,2,3.3537241623436093e-07,COMPLETE
88,0.23183398693799973,2026-06-24 05:44:41.108602,2026-06-24 05:51:58.262475,0 days 00:07:17.153873,128,0.1,4,0.0003373297078214809,16,3,2.0882969516517744e-07,COMPLETE
89,,2026-06-24 05:51:58.264186,2026-06-24 05:51:59.151910,0 days 00:00:00.887724,128,0.1,4,0.0003688049237051138,16,11,3.088243782777018e-07,PRUNED
90,,2026-06-24 05:51:59.153467,2026-06-24 05:51:59.698102,0 days 00:00:00.544635,128,0.15000000000000002,4,0.00032618870547536133,4,2,2.4030120896712034e-07,PRUNED
91,0.22520240768790245,2026-06-24 05:51:59.699777,2026-06-24 05:59:16.622597,0 days 00:07:16.922820,128,0.15000000000000002,4,0.00039341245062167457,16,3,2.2165834630145902e-07,COMPLETE
92,0.23314040899276733,2026-06-24 05:59:16.624403,2026-06-24 06:06:34.193718,0 days 00:07:17.569315,128,0.15000000000000002,4,0.00037824667027507486,16,3,2.6078091559499937e-07,COMPLETE
93,0.23499392718076706,2026-06-24 06:06:34.195508,2026-06-24 06:11:30.843014,0 days 00:04:56.647506,128,0.15000000000000002,4,0.0004115760615257429,16,2,2.8137072669710496e-07,COMPLETE
94,0.22865549474954605,2026-06-24 06:11:30.845052,2026-06-24 06:21:10.888694,0 days 00:09:40.043642,128,0.15000000000000002,4,0.00036345304763872144,16,4,1.9432386319671982e-07,COMPLETE
95,0.23220351338386536,2026-06-24 06:21:10.890472,2026-06-24 06:28:29.116396,0 days 00:07:18.225924,128,0.15000000000000002,4,0.00031913242890421235,16,3,2.0400708712937862e-07,COMPLETE
96,,2026-06-24 06:28:29.118127,2026-06-24 06:28:30.040286,0 days 00:00:00.922159,512,0.1,4,0.0002418564717055503,16,2,2.562520599657163e-07,PRUNED
97,,2026-06-24 06:28:30.041883,2026-06-24 06:28:30.525600,0 days 00:00:00.483717,128,0.15000000000000002,4,0.00045290986807618286,16,3,2.1617282197599477e-07,PRUNED
98,,2026-06-24 06:28:30.527175,2026-06-24 06:28:35.118339,0 days 00:00:04.591164,1024,0.1,4,0.00021969232933852863,8,9,3.2508004346172025e-07,PRUNED
99,,2026-06-24 06:28:35.120074,2026-06-24 06:28:35.634918,0 days 00:00:00.514844,128,0.15000000000000002,4,0.0001888102258766534,16,4,2.392380850251521e-07,PRUNED
