,ADOSC_3_10_minmax,ADX_14_minmax,ATR_14_minmax,BBANDS_lowerband_distance_close,BBANDS_middleband_distance_close,BBANDS_upperband_distance_close,CCI_14_minmax,EMA_10_distance_close,EMA_200_distance_close,EMA_50_distance_close,MACD_macd,MACD_macdhist,MACD_macdsignal,OBV__minmax,RSI_14_minmax,SAR__distance_close,STOCH_slowd_minmax,STOCH_slowk_minmax,volume_lr,weekday_cos,weekday_sin
MACD_macd,-0.026846501860655195,0.06216962530610803,-0.04958958858031682,0.33561454505499105,0.48044898682841136,0.408613414477475,-0.11191184798730466,0.34251651278359174,0.4700075267923245,0.5980904241130373,1.0,0.35672266817290355,0.9509481582149877,0.259842030637904,0.056271178380513195,0.25185065144206165,0.08420402680084906,0.05181477503945584,0.0027723969978958223,-0.0010362796181570706,0.0018958247601997995
MACD_macdhist,0.3045440309879486,0.03260887429367729,-0.11722696051835527,0.45779059279086554,0.5554109603009112,0.4118782549315157,0.25292987892973423,0.51212258839569,0.08843025817081566,0.30580898952341223,0.35672266817290355,1.0,0.05022653054623515,0.3990399100324334,0.4704482933214316,0.504498569476118,0.46808729196025306,0.44008067654810223,0.0026433258715611242,0.0025210626879515804,-0.0020545781393576136
MACD_macdsignal,-0.12954620327988328,0.0556658300232317,-0.01419680857611358,0.20720526435170622,0.3297180935448533,0.30044950095230255,-0.20339587730056585,0.196592705552569,0.47318935371947524,0.5381373239559482,0.9509481582149877,0.05022653054623515,1.0,0.14565345329267493,-0.09562424679220895,0.10218898039476107,-0.0649802166562862,-0.09033266294702977,0.0020885919825492463,-0.0019426708216034858,0.0027071165970257377
OBV__minmax,0.41456399921304776,0.07927542325635174,-0.09409659085821814,0.5199593204949834,0.6433577462206646,0.4860394119877935,0.46723435839503236,0.6651978604554926,0.2862537382667789,0.5008598935961606,0.259842030637904,0.3990399100324334,0.14565345329267493,1.0,0.667806423914184,0.6056920806406525,0.4941523305205721,0.5562997431478378,0.002912417145954675,-0.002489926700264694,-0.004554547121677188
RSI_14_minmax,0.6006064674291421,0.06251750272131501,-0.10477047374543942,0.5100294584589006,0.5840714602875242,0.40833775306627995,0.7875259438819193,0.7049558439198257,0.08232665794399148,0.2961025482989062,0.056271178380513195,0.4704482933214316,-0.09562424679220895,0.667806423914184,1.0,0.7082967210804503,0.6981442997334039,0.8224640706198979,0.003788234709190614,-0.004110913199567571,-0.006193645189141352
SAR__distance_close,0.45917325131352577,0.0035604662802634153,-0.10400508658624193,0.6030743699534852,0.7833818183953857,0.6178624985333631,0.5685158999381577,0.8416190045232802,0.3275952118319699,0.585671649969049,0.25185065144206165,0.504498569476118,0.10218898039476107,0.6056920806406525,0.7082967210804503,1.0,0.6279114314946862,0.6845041733660077,0.005526902074977246,0.0011028956893715702,-0.006033747837602559
STOCH_slowd_minmax,0.528539517225386,0.04500141664247686,-0.11752774191198581,0.42213341236089336,0.4827364938148454,0.33697850530570983,0.5377800631745375,0.47713040679557117,0.07657130238041313,0.23315189516281346,0.08420402680084906,0.46808729196025306,-0.0649802166562862,0.4941523305205721,0.6981442997334039,0.6279114314946862,1.0,0.9063584357951264,0.008657202698799469,0.0013052712696611244,-0.0022428679502057985
STOCH_slowk_minmax,0.6086876742516363,0.028792457152983456,-0.09776743510699377,0.42123257482931525,0.491838884215362,0.3510097635071448,0.7291586038298754,0.5659936368589434,0.08699754566162153,0.24895241244815017,0.05181477503945584,0.44008067654810223,-0.09033266294702977,0.5562997431478378,0.8224640706198979,0.6845041733660077,0.9063584357951264,1.0,0.007990039870818113,-0.0003822496534847349,-0.0026495221007312346
volume_lr,0.002646150243151726,-0.0017843329436714813,0.002078607021072963,0.0017387214236403291,0.0045714770369741165,0.005148357138410063,0.00017336825516548707,0.003644472421560805,0.002950650745620877,0.003914915318378302,0.0027723969978958223,0.0026433258715611242,0.0020885919825492463,0.002912417145954675,0.003788234709190614,0.005526902074977246,0.008657202698799469,0.007990039870818113,1.0,-0.05859934481726265,0.02452988662757075
weekday_cos,0.002411278389747238,-0.001676344707904531,-0.0033094469672328673,0.0020566100273703837,0.0007606467783103808,-0.0006746607795393619,-0.0037686601523839796,-0.0014389777931128624,-0.00038320785299928003,-0.0012363581468674985,-0.0010362796181570706,0.0025210626879515804,-0.0019426708216034858,-0.002489926700264694,-0.004110913199567571,0.0011028956893715702,0.0013052712696611244,-0.0003822496534847349,-0.05859934481726265,1.0,-0.0007674018921596546
weekday_sin,-0.006049212405467044,-0.0014521164714236235,-0.015184420963564909,-0.004193825558351634,-0.004663147201058253,-0.0031545616039628265,-0.004674352012311011,-0.008592542554708838,-0.0005111311486034627,-0.0013933588457955362,0.0018958247601997995,-0.0020545781393576136,0.0027071165970257377,-0.004554547121677188,-0.006193645189141352,-0.006033747837602559,-0.0022428679502057985,-0.0026495221007312346,0.02452988662757075,-0.0007674018921596546,1.0
